Pavarde        Vardas         ND1  ND2  ND3  ND4  ND5  EGZ     
Vardas4367     Pavarde4367    1    6    9    9    6    1       
Vardas4368     Pavarde4368    9    8    2    3    3    10      
Vardas4369     Pavarde4369    10   2    6    1    9    3       
Vardas4370     Pavarde4370    8    5    8    6    10   10      
Vardas4371     Pavarde4371    4    6    1    3    2    10      
Vardas4372     Pavarde4372    9    5    5    7    3    9       
Vardas4373     Pavarde4373    6    10   5    1    1    2       
Vardas4374     Pavarde4374    8    6    6    5    7    6       
Vardas4375     Pavarde4375    7    7    6    2    6    2       
Vardas4376     Pavarde4376    3    4    1    7    7    6       
Vardas4377     Pavarde4377    5    5    5    5    7    2       
Vardas4378     Pavarde4378    7    2    1    8    8    9       
Vardas4379     Pavarde4379    3    2    2    6    4    1       
Vardas4380     Pavarde4380    6    5    6    4    9    3       
Vardas4381     Pavarde4381    5    4    8    6    10   1       
Vardas4382     Pavarde4382    8    7    1    7    5    9       
Vardas4383     Pavarde4383    7    7    9    7    4    7       
Vardas4384     Pavarde4384    8    4    4    6    9    8       
Vardas4385     Pavarde4385    3    8    1    7    1    2       
Vardas4386     Pavarde4386    9    10   6    5    6    6       
Vardas4387     Pavarde4387    2    8    8    7    9    7       
Vardas4388     Pavarde4388    9    8    10   4    10   4       
Vardas4389     Pavarde4389    1    9    5    6    2    1       
Vardas4390     Pavarde4390    9    4    7    5    5    3       
Vardas4391     Pavarde4391    3    1    9    9    8    6       
Vardas4392     Pavarde4392    10   10   10   7    7    6       
Vardas4393     Pavarde4393    4    2    8    4    6    6       
Vardas4394     Pavarde4394    2    3    7    1    3    4       
Vardas4395     Pavarde4395    6    5    2    3    1    5       
Vardas4396     Pavarde4396    6    7    7    10   1    4       
Vardas4397     Pavarde4397    10   1    2    1    4    3       
Vardas4398     Pavarde4398    8    6    1    8    7    5       
Vardas4399     Pavarde4399    8    10   6    2    6    8       
Vardas4400     Pavarde4400    6    2    7    3    6    9       
Vardas4401     Pavarde4401    1    8    2    1    9    8       
Vardas4402     Pavarde4402    9    9    1    5    10   1       
Vardas4403     Pavarde4403    7    2    4    7    3    7       
Vardas4404     Pavarde4404    7    5    9    7    10   2       
Vardas4405     Pavarde4405    7    2    10   2    1    6       
Vardas4406     Pavarde4406    10   6    8    7    5    4       
Vardas4407     Pavarde4407    4    4    3    1    5    5       
Vardas4408     Pavarde4408    9    5    5    1    7    3       
Vardas4409     Pavarde4409    3    4    7    4    4    3       
Vardas4410     Pavarde4410    10   4    3    4    5    3       
Vardas4411     Pavarde4411    4    4    2    7    8    6       
Vardas4412     Pavarde4412    3    6    4    5    1    3       
Vardas4413     Pavarde4413    1    7    6    1    9    3       
Vardas4414     Pavarde4414    6    1    6    4    3    7       
Vardas4415     Pavarde4415    10   8    2    6    5    3       
Vardas4416     Pavarde4416    7    1    3    6    4    3       
Vardas4417     Pavarde4417    8    6    7    5    4    5       
Vardas4418     Pavarde4418    7    3    3    10   5    1       
Vardas4419     Pavarde4419    7    2    9    10   10   8       
Vardas4420     Pavarde4420    6    5    10   9    9    2       
Vardas4421     Pavarde4421    4    5    8    6    9    8       
Vardas4422     Pavarde4422    8    4    3    4    1    3       
Vardas4423     Pavarde4423    8    4    10   7    5    3       
Vardas4424     Pavarde4424    5    10   7    4    10   6       
Vardas4425     Pavarde4425    4    6    4    10   10   5       
Vardas4426     Pavarde4426    9    2    6    5    1    1       
Vardas4427     Pavarde4427    4    3    6    8    10   7       
Vardas4428     Pavarde4428    2    9    1    7    10   10      
Vardas4429     Pavarde4429    8    8    10   4    1    10      
Vardas4430     Pavarde4430    5    5    9    5    2    6       
Vardas4431     Pavarde4431    1    8    7    7    10   3       
Vardas4432     Pavarde4432    10   9    1    2    8    10      
Vardas4433     Pavarde4433    8    1    1    4    10   1       
Vardas4434     Pavarde4434    4    2    7    1    2    10      
Vardas4435     Pavarde4435    8    5    6    10   4    2       
Vardas4436     Pavarde4436    10   7    9    9    8    1       
Vardas4437     Pavarde4437    2    2    9    4    1    7       
Vardas4438     Pavarde4438    8    4    5    2    10   10      
Vardas4439     Pavarde4439    1    6    3    5    4    3       
Vardas4440     Pavarde4440    3    2    8    2    2    5       
Vardas4441     Pavarde4441    4    7    9    4    9    1       
Vardas4442     Pavarde4442    4    4    8    9    6    2       
Vardas4443     Pavarde4443    7    1    6    4    8    8       
Vardas4444     Pavarde4444    1    9    1    5    1    10      
Vardas4445     Pavarde4445    5    5    5    8    6    9       
Vardas4446     Pavarde4446    5    10   8    4    1    6       
Vardas4447     Pavarde4447    7    10   7    1    3    6       
Vardas4448     Pavarde4448    1    5    6    10   10   10      
Vardas4449     Pavarde4449    1    7    6    1    6    3       
Vardas4450     Pavarde4450    4    5    3    2    10   5       
Vardas4451     Pavarde4451    3    10   8    4    9    2       
Vardas4452     Pavarde4452    9    4    8    9    1    1       
Vardas4453     Pavarde4453    2    10   3    7    10   9       
Vardas4454     Pavarde4454    9    9    4    3    9    9       
Vardas4455     Pavarde4455    9    8    10   5    6    9       
Vardas4456     Pavarde4456    8    1    3    5    8    9       
Vardas4457     Pavarde4457    2    6    7    1    5    5       
Vardas4458     Pavarde4458    2    10   4    2    3    3       
Vardas4459     Pavarde4459    3    7    7    5    4    2       
Vardas4460     Pavarde4460    7    5    8    3    5    2       
Vardas4461     Pavarde4461    1    6    5    10   4    7       
Vardas4462     Pavarde4462    1    1    2    1    4    6       
Vardas4463     Pavarde4463    2    8    9    2    8    8       
Vardas4464     Pavarde4464    3    10   10   2    6    6       
Vardas4465     Pavarde4465    10   10   6    1    4    9       
Vardas4466     Pavarde4466    4    2    5    7    10   4       
Vardas4467     Pavarde4467    6    10   4    1    9    9       
Vardas4468     Pavarde4468    6    4    8    3    7    10      
Vardas4469     Pavarde4469    8    6    2    2    9    1       
Vardas4470     Pavarde4470    10   1    10   1    7    2       
Vardas4471     Pavarde4471    4    6    5    4    3    7       
Vardas4472     Pavarde4472    3    6    5    8    8    8       
Vardas4473     Pavarde4473    8    10   4    6    5    1       
Vardas4474     Pavarde4474    10   6    8    1    4    3       
Vardas4475     Pavarde4475    1    7    9    9    8    6       
Vardas4476     Pavarde4476    6    9    7    10   5    8       
Vardas4477     Pavarde4477    10   5    7    1    2    7       
Vardas4478     Pavarde4478    8    6    8    4    10   3       
Vardas4479     Pavarde4479    2    6    7    8    8    9       
Vardas4480     Pavarde4480    7    2    5    2    8    4       
Vardas4481     Pavarde4481    3    6    2    6    10   8       
Vardas4482     Pavarde4482    4    6    9    1    5    1       
Vardas4483     Pavarde4483    10   8    9    3    6    3       
Vardas4484     Pavarde4484    6    9    9    5    4    10      
Vardas4485     Pavarde4485    1    2    1    5    10   5       
Vardas4486     Pavarde4486    4    6    5    5    3    9       
Vardas4487     Pavarde4487    6    4    7    3    3    2       
Vardas4488     Pavarde4488    3    10   6    7    3    3       
Vardas4489     Pavarde4489    5    5    4    2    9    6       
Vardas4490     Pavarde4490    5    5    1    6    6    6       
Vardas4491     Pavarde4491    5    5    5    8    1    2       
Vardas4492     Pavarde4492    10   9    2    2    2    3       
Vardas4493     Pavarde4493    5    3    7    4    6    10      
Vardas4494     Pavarde4494    3    6    2    6    6    7       
Vardas4495     Pavarde4495    7    1    4    8    10   10      
Vardas4496     Pavarde4496    4    4    5    6    2    8       
Vardas4497     Pavarde4497    7    6    1    4    2    8       
Vardas4498     Pavarde4498    10   6    7    2    8    4       
Vardas4499     Pavarde4499    3    3    7    1    2    10      
Vardas4500     Pavarde4500    5    2    2    6    3    10      
Vardas4501     Pavarde4501    6    2    3    7    5    2       
Vardas4502     Pavarde4502    3    10   5    1    3    8       
Vardas4503     Pavarde4503    9    3    1    1    4    6       
Vardas4504     Pavarde4504    4    1    8    9    3    5       
Vardas4505     Pavarde4505    5    1    10   5    3    10      
Vardas4506     Pavarde4506    9    10   1    1    8    10      
Vardas4507     Pavarde4507    3    2    2    7    6    2       
Vardas4508     Pavarde4508    10   5    4    3    6    1       
Vardas4509     Pavarde4509    10   4    6    3    6    3       
Vardas4510     Pavarde4510    5    8    10   4    5    5       
Vardas4511     Pavarde4511    2    9    4    7    2    10      
Vardas4512     Pavarde4512    1    5    8    5    3    1       
Vardas4513     Pavarde4513    7    5    9    8    10   1       
Vardas4514     Pavarde4514    5    6    1    10   6    2       
Vardas4515     Pavarde4515    2    8    1    2    8    4       
Vardas4516     Pavarde4516    9    6    2    9    3    10      
Vardas4517     Pavarde4517    9    1    7    4    9    10      
Vardas4518     Pavarde4518    2    4    8    7    8    8       
Vardas4519     Pavarde4519    2    6    1    8    6    10      
Vardas4520     Pavarde4520    5    10   4    6    1    2       
Vardas4521     Pavarde4521    6    8    8    9    5    5       
Vardas4522     Pavarde4522    5    4    3    3    5    2       
Vardas4523     Pavarde4523    1    8    5    1    5    9       
Vardas4524     Pavarde4524    5    10   7    4    10   1       
Vardas4525     Pavarde4525    8    3    1    4    3    9       
Vardas4526     Pavarde4526    3    10   9    6    6    4       
Vardas4527     Pavarde4527    6    8    2    6    7    5       
Vardas4528     Pavarde4528    5    5    9    3    2    4       
Vardas4529     Pavarde4529    1    9    2    7    6    10      
Vardas4530     Pavarde4530    4    7    7    10   8    10      
Vardas4531     Pavarde4531    1    2    1    2    10   4       
Vardas4532     Pavarde4532    1    9    9    6    8    2       
Vardas4533     Pavarde4533    2    1    3    3    2    5       
Vardas4534     Pavarde4534    6    8    4    6    3    8       
Vardas4535     Pavarde4535    1    9    3    4    2    6       
Vardas4536     Pavarde4536    2    8    6    2    10   9       
Vardas4537     Pavarde4537    6    5    1    3    9    8       
Vardas4538     Pavarde4538    1    4    3    8    4    1       
Vardas4539     Pavarde4539    1    1    3    7    3    5       
Vardas4540     Pavarde4540    2    2    7    1    7    2       
Vardas4541     Pavarde4541    9    9    8    9    3    3       
Vardas4542     Pavarde4542    2    7    10   4    7    6       
Vardas4543     Pavarde4543    1    7    5    7    9    1       
Vardas4544     Pavarde4544    1    7    9    6    10   3       
Vardas4545     Pavarde4545    1    8    3    2    8    5       
Vardas4546     Pavarde4546    4    10   2    6    10   6       
Vardas4547     Pavarde4547    5    4    7    10   7    4       
Vardas4548     Pavarde4548    9    8    5    7    1    10      
Vardas4549     Pavarde4549    9    4    8    3    2    2       
Vardas4550     Pavarde4550    2    5    3    6    7    9       
Vardas4551     Pavarde4551    10   8    6    3    10   2       
Vardas4552     Pavarde4552    3    5    9    4    9    3       
Vardas4553     Pavarde4553    7    9    2    10   2    7       
Vardas4554     Pavarde4554    10   2    8    10   10   6       
Vardas4555     Pavarde4555    7    4    7    7    8    10      
Vardas4556     Pavarde4556    10   9    8    2    4    4       
Vardas4557     Pavarde4557    6    1    3    4    8    3       
Vardas4558     Pavarde4558    4    1    7    9    9    10      
Vardas4559     Pavarde4559    4    5    2    3    2    8       
Vardas4560     Pavarde4560    3    10   6    9    9    3       
Vardas4561     Pavarde4561    9    2    2    4    1    4       
Vardas4562     Pavarde4562    10   7    7    6    7    3       
Vardas4563     Pavarde4563    4    2    6    2    10   10      
Vardas4564     Pavarde4564    6    4    4    10   10   1       
Vardas4565     Pavarde4565    4    6    5    2    9    3       
Vardas4566     Pavarde4566    3    8    5    10   7    7       
Vardas4567     Pavarde4567    2    7    2    10   6    1       
Vardas4568     Pavarde4568    3    8    7    2    5    10      
Vardas4569     Pavarde4569    3    10   5    7    4    3       
Vardas4570     Pavarde4570    6    6    6    6    4    2       
Vardas4571     Pavarde4571    3    1    4    2    8    5       
Vardas4572     Pavarde4572    9    9    4    5    4    4       
Vardas4573     Pavarde4573    5    7    1    5    10   1       
Vardas4574     Pavarde4574    2    1    1    1    10   4       
Vardas4575     Pavarde4575    7    8    6    8    4    5       
Vardas4576     Pavarde4576    6    10   7    6    2    7       
Vardas4577     Pavarde4577    3    8    2    3    5    10      
Vardas4578     Pavarde4578    6    4    4    7    6    2       
Vardas4579     Pavarde4579    1    6    5    3    3    7       
Vardas4580     Pavarde4580    7    7    8    2    4    1       
Vardas4581     Pavarde4581    7    10   7    7    7    8       
Vardas4582     Pavarde4582    4    2    1    4    4    5       
Vardas4583     Pavarde4583    3    5    8    1    10   1       
Vardas4584     Pavarde4584    5    1    1    10   8    9       
Vardas4585     Pavarde4585    2    2    5    10   2    4       
Vardas4586     Pavarde4586    10   9    6    4    7    9       
Vardas4587     Pavarde4587    8    5    4    2    5    1       
Vardas4588     Pavarde4588    1    3    8    5    10   2       
Vardas4589     Pavarde4589    7    1    10   8    3    9       
Vardas4590     Pavarde4590    4    10   4    8    9    1       
Vardas4591     Pavarde4591    6    6    5    9    1    9       
Vardas4592     Pavarde4592    7    5    6    2    2    7       
Vardas4593     Pavarde4593    2    9    6    1    3    7       
Vardas4594     Pavarde4594    6    2    8    6    2    7       
Vardas4595     Pavarde4595    8    5    3    4    2    6       
Vardas4596     Pavarde4596    5    6    2    6    9    8       
Vardas4597     Pavarde4597    10   3    9    1    4    2       
Vardas4598     Pavarde4598    2    3    7    6    9    9       
Vardas4599     Pavarde4599    1    5    9    2    8    10      
Vardas4600     Pavarde4600    5    3    1    3    7    5       
Vardas4601     Pavarde4601    9    3    2    7    5    2       
Vardas4602     Pavarde4602    3    10   10   6    8    7       
Vardas4603     Pavarde4603    4    10   2    10   3    5       
Vardas4604     Pavarde4604    1    7    1    7    9    1       
Vardas4605     Pavarde4605    6    5    3    5    6    2       
Vardas4606     Pavarde4606    10   4    4    4    6    8       
Vardas4607     Pavarde4607    5    1    6    7    9    8       
Vardas4608     Pavarde4608    9    8    1    3    8    4       
Vardas4609     Pavarde4609    4    4    1    3    10   7       
Vardas4610     Pavarde4610    8    4    9    5    2    5       
Vardas4611     Pavarde4611    6    3    7    9    2    3       
Vardas4612     Pavarde4612    1    1    6    3    8    10      
Vardas4613     Pavarde4613    2    7    8    8    2    5       
Vardas4614     Pavarde4614    9    3    1    7    3    4       
Vardas4615     Pavarde4615    10   9    10   1    1    9       
Vardas4616     Pavarde4616    10   3    5    8    6    8       
Vardas4617     Pavarde4617    8    10   3    4    5    8       
Vardas4618     Pavarde4618    1    1    4    9    5    3       
Vardas4619     Pavarde4619    2    6    5    9    2    10      
Vardas4620     Pavarde4620    5    9    3    7    3    10      
Vardas4621     Pavarde4621    5    10   7    4    6    3       
Vardas4622     Pavarde4622    5    10   3    4    2    7       
Vardas4623     Pavarde4623    3    1    1    6    8    4       
Vardas4624     Pavarde4624    9    4    4    7    7    8       
Vardas4625     Pavarde4625    3    8    6    10   2    7       
Vardas4626     Pavarde4626    1    5    9    8    3    8       
Vardas4627     Pavarde4627    1    10   5    7    4    2       
Vardas4628     Pavarde4628    10   9    9    2    2    4       
Vardas4629     Pavarde4629    9    8    1    9    2    7       
Vardas4630     Pavarde4630    10   2    5    5    5    9       
Vardas4631     Pavarde4631    7    7    6    7    8    1       
Vardas4632     Pavarde4632    2    7    5    7    6    5       
Vardas4633     Pavarde4633    2    7    4    9    10   6       
Vardas4634     Pavarde4634    2    3    8    7    7    10      
Vardas4635     Pavarde4635    7    4    10   9    7    1       
Vardas4636     Pavarde4636    8    9    7    3    7    6       
Vardas4637     Pavarde4637    4    3    5    2    5    2       
Vardas4638     Pavarde4638    4    5    5    5    10   9       
Vardas4639     Pavarde4639    2    10   9    3    6    7       
Vardas4640     Pavarde4640    2    6    1    7    1    10      
Vardas4641     Pavarde4641    5    2    8    2    1    4       
Vardas4642     Pavarde4642    5    10   6    8    2    3       
Vardas4643     Pavarde4643    3    1    3    6    6    2       
Vardas4644     Pavarde4644    1    1    1    10   6    9       
Vardas4645     Pavarde4645    3    4    8    9    8    9       
Vardas4646     Pavarde4646    3    4    1    1    9    6       
Vardas4647     Pavarde4647    4    7    4    6    5    9       
Vardas4648     Pavarde4648    6    4    8    6    7    4       
Vardas4649     Pavarde4649    4    8    10   2    2    1       
Vardas4650     Pavarde4650    1    7    8    1    7    6       
Vardas4651     Pavarde4651    9    10   4    3    10   7       
Vardas4652     Pavarde4652    9    8    9    7    3    5       
Vardas4653     Pavarde4653    10   1    10   6    8    5       
Vardas4654     Pavarde4654    9    3    2    7    5    6       
Vardas4655     Pavarde4655    7    8    10   10   2    7       
Vardas4656     Pavarde4656    7    4    1    1    9    9       
Vardas4657     Pavarde4657    6    5    8    6    4    4       
Vardas4658     Pavarde4658    2    9    6    9    1    1       
Vardas4659     Pavarde4659    8    2    2    1    7    7       
Vardas4660     Pavarde4660    2    3    3    2    5    6       
Vardas4661     Pavarde4661    8    10   10   2    8    1       
Vardas4662     Pavarde4662    5    1    10   1    4    2       
Vardas4663     Pavarde4663    10   2    5    4    5    4       
Vardas4664     Pavarde4664    10   10   10   9    4    2       
Vardas4665     Pavarde4665    6    4    10   9    7    3       
Vardas4666     Pavarde4666    6    7    5    7    10   2       
Vardas4667     Pavarde4667    6    10   2    5    8    7       
Vardas4668     Pavarde4668    9    3    7    8    8    5       
Vardas4669     Pavarde4669    6    4    5    3    1    10      
Vardas4670     Pavarde4670    2    5    6    10   2    9       
Vardas4671     Pavarde4671    2    9    9    8    8    9       
Vardas4672     Pavarde4672    7    5    10   6    3    7       
Vardas4673     Pavarde4673    8    6    10   3    10   9       
Vardas4674     Pavarde4674    6    10   10   1    7    2       
Vardas4675     Pavarde4675    2    10   4    7    5    9       
Vardas4676     Pavarde4676    2    2    7    1    4    9       
Vardas4677     Pavarde4677    2    10   10   6    8    8       
Vardas4678     Pavarde4678    8    4    3    3    7    7       
Vardas4679     Pavarde4679    9    8    9    1    8    9       
Vardas4680     Pavarde4680    3    10   6    6    4    4       
Vardas4681     Pavarde4681    8    10   7    6    4    8       
Vardas4682     Pavarde4682    4    4    8    7    5    7       
Vardas4683     Pavarde4683    1    5    3    8    2    6       
Vardas4684     Pavarde4684    9    9    9    7    2    10      
Vardas4685     Pavarde4685    7    7    3    9    4    6       
Vardas4686     Pavarde4686    2    6    8    2    9    9       
Vardas4687     Pavarde4687    6    7    1    8    3    8       
Vardas4688     Pavarde4688    3    2    3    2    2    9       
Vardas4689     Pavarde4689    5    10   5    7    5    6       
Vardas4690     Pavarde4690    2    8    2    8    8    7       
Vardas4691     Pavarde4691    4    7    2    6    6    8       
Vardas4692     Pavarde4692    6    1    5    8    6    10      
Vardas4693     Pavarde4693    7    10   3    2    4    6       
Vardas4694     Pavarde4694    3    4    6    6    1    4       
Vardas4695     Pavarde4695    10   3    5    6    2    3       
Vardas4696     Pavarde4696    4    7    5    10   1    10      
Vardas4697     Pavarde4697    9    4    10   7    5    5       
Vardas4698     Pavarde4698    10   8    9    2    5    5       
Vardas4699     Pavarde4699    9    7    5    3    6    10      
Vardas4700     Pavarde4700    3    2    9    3    2    8       
Vardas4701     Pavarde4701    10   8    9    10   7    7       
Vardas4702     Pavarde4702    5    2    4    8    7    8       
Vardas4703     Pavarde4703    1    8    7    8    10   8       
Vardas4704     Pavarde4704    7    9    5    5    8    3       
Vardas4705     Pavarde4705    7    7    9    10   4    7       
Vardas4706     Pavarde4706    4    8    3    5    5    9       
Vardas4707     Pavarde4707    5    7    1    3    4    3       
Vardas4708     Pavarde4708    9    6    10   1    9    8       
Vardas4709     Pavarde4709    9    1    10   5    2    7       
Vardas4710     Pavarde4710    1    6    8    4    9    4       
Vardas4711     Pavarde4711    6    10   2    6    3    7       
Vardas4712     Pavarde4712    9    3    7    6    4    9       
Vardas4713     Pavarde4713    8    10   4    7    2    10      
Vardas4714     Pavarde4714    3    6    5    4    3    2       
Vardas4715     Pavarde4715    6    10   5    8    10   1       
Vardas4716     Pavarde4716    4    2    6    7    9    5       
Vardas4717     Pavarde4717    3    5    7    7    6    9       
Vardas4718     Pavarde4718    10   4    5    10   4    3       
Vardas4719     Pavarde4719    9    8    4    3    4    5       
Vardas4720     Pavarde4720    6    1    8    8    8    2       
Vardas4721     Pavarde4721    8    3    1    1    3    4       
Vardas4722     Pavarde4722    3    2    4    10   8    6       
Vardas4723     Pavarde4723    9    9    6    5    1    9       
Vardas4724     Pavarde4724    4    4    8    6    4    4       
Vardas4725     Pavarde4725    1    10   4    2    2    10      
Vardas4726     Pavarde4726    2    6    1    3    2    1       
Vardas4727     Pavarde4727    5    1    1    1    5    10      
Vardas4728     Pavarde4728    5    7    5    2    7    3       
Vardas4729     Pavarde4729    5    9    6    7    2    1       
Vardas4730     Pavarde4730    10   9    2    4    3    5       
Vardas4731     Pavarde4731    3    7    9    4    4    5       
Vardas4732     Pavarde4732    8    6    10   4    9    2       
Vardas4733     Pavarde4733    9    1    8    9    3    1       
Vardas4734     Pavarde4734    8    10   10   2    6    1       
Vardas4735     Pavarde4735    7    9    6    10   2    10      
Vardas4736     Pavarde4736    3    2    8    3    5    9       
Vardas4737     Pavarde4737    2    5    9    9    6    5       
Vardas4738     Pavarde4738    9    3    3    9    2    10      
Vardas4739     Pavarde4739    9    9    6    6    1    8       
Vardas4740     Pavarde4740    6    8    8    5    4    5       
Vardas4741     Pavarde4741    5    7    2    3    8    5       
Vardas4742     Pavarde4742    7    3    3    4    9    6       
Vardas4743     Pavarde4743    7    3    1    10   6    10      
Vardas4744     Pavarde4744    2    2    6    10   3    1       
Vardas4745     Pavarde4745    5    3    10   8    5    9       
Vardas4746     Pavarde4746    2    3    10   4    2    4       
Vardas4747     Pavarde4747    4    6    9    6    6    3       
Vardas4748     Pavarde4748    4    9    8    1    1    4       
Vardas4749     Pavarde4749    4    10   5    1    1    7       
Vardas4750     Pavarde4750    10   7    1    9    4    6       
Vardas4751     Pavarde4751    2    4    2    7    2    7       
Vardas4752     Pavarde4752    3    9    3    2    6    9       
Vardas4753     Pavarde4753    6    7    1    3    5    5       
Vardas4754     Pavarde4754    1    2    2    1    8    8       
Vardas4755     Pavarde4755    7    4    9    7    2    2       
Vardas4756     Pavarde4756    8    10   1    3    6    5       
Vardas4757     Pavarde4757    10   8    3    8    10   5       
Vardas4758     Pavarde4758    4    7    4    5    8    6       
Vardas4759     Pavarde4759    7    5    9    2    4    1       
Vardas4760     Pavarde4760    3    2    7    4    4    4       
Vardas4761     Pavarde4761    2    4    7    8    8    4       
Vardas4762     Pavarde4762    10   9    3    10   5    9       
Vardas4763     Pavarde4763    9    10   10   8    9    9       
Vardas4764     Pavarde4764    4    7    9    1    3    8       
Vardas4765     Pavarde4765    10   2    1    3    10   6       
Vardas4766     Pavarde4766    1    6    8    6    5    5       
Vardas4767     Pavarde4767    4    8    9    1    1    10      
Vardas4768     Pavarde4768    9    7    7    10   6    10      
Vardas4769     Pavarde4769    2    9    1    8    2    10      
Vardas4770     Pavarde4770    2    7    7    3    4    5       
Vardas4771     Pavarde4771    1    8    6    1    9    3       
Vardas4772     Pavarde4772    2    3    9    5    3    2       
Vardas4773     Pavarde4773    1    8    10   3    1    8       
Vardas4774     Pavarde4774    6    3    10   4    4    9       
Vardas4775     Pavarde4775    5    4    8    7    10   5       
Vardas4776     Pavarde4776    8    6    7    7    3    8       
Vardas4777     Pavarde4777    6    2    4    7    8    8       
Vardas4778     Pavarde4778    9    4    7    7    5    4       
Vardas4779     Pavarde4779    8    1    1    9    5    5       
Vardas4780     Pavarde4780    5    1    7    7    2    4       
Vardas4781     Pavarde4781    9    5    1    8    1    1       
Vardas4782     Pavarde4782    6    5    2    3    5    9       
Vardas4783     Pavarde4783    8    10   10   9    10   10      
Vardas4784     Pavarde4784    6    10   7    7    7    2       
Vardas4785     Pavarde4785    8    10   10   6    7    10      
Vardas4786     Pavarde4786    9    5    4    1    7    10      
Vardas4787     Pavarde4787    5    9    1    2    8    2       
Vardas4788     Pavarde4788    3    5    1    5    6    10      
Vardas4789     Pavarde4789    10   7    9    9    9    10      
Vardas4790     Pavarde4790    3    8    9    6    10   5       
Vardas4791     Pavarde4791    2    10   5    8    6    1       
Vardas4792     Pavarde4792    6    7    10   2    1    4       
Vardas4793     Pavarde4793    5    6    4    8    9    6       
Vardas4794     Pavarde4794    5    10   4    9    9    2       
Vardas4795     Pavarde4795    1    3    5    9    2    2       
Vardas4796     Pavarde4796    10   2    9    3    8    2       
Vardas4797     Pavarde4797    3    4    2    9    1    1       
Vardas4798     Pavarde4798    10   5    10   10   2    4       
Vardas4799     Pavarde4799    8    2    8    1    5    7       
Vardas4800     Pavarde4800    7    6    5    9    6    3       
Vardas4801     Pavarde4801    10   6    6    7    2    4       
Vardas4802     Pavarde4802    5    3    2    5    5    2       
Vardas4803     Pavarde4803    5    8    6    1    6    1       
Vardas4804     Pavarde4804    5    5    4    1    4    7       
Vardas4805     Pavarde4805    5    9    9    6    4    2       
Vardas4806     Pavarde4806    8    10   8    4    5    3       
Vardas4807     Pavarde4807    8    3    7    3    9    10      
Vardas4808     Pavarde4808    2    3    3    9    9    3       
Vardas4809     Pavarde4809    7    10   2    10   6    10      
Vardas4810     Pavarde4810    3    3    1    6    10   5       
Vardas4811     Pavarde4811    6    3    9    9    5    9       
Vardas4812     Pavarde4812    5    4    8    1    8    7       
Vardas4813     Pavarde4813    2    4    3    10   10   8       
Vardas4814     Pavarde4814    5    2    2    5    9    10      
Vardas4815     Pavarde4815    10   10   4    1    9    7       
Vardas4816     Pavarde4816    6    2    6    1    8    1       
Vardas4817     Pavarde4817    6    2    10   4    7    1       
Vardas4818     Pavarde4818    9    9    3    6    2    5       
Vardas4819     Pavarde4819    9    9    8    10   4    6       
Vardas4820     Pavarde4820    9    8    9    3    9    9       
Vardas4821     Pavarde4821    4    8    5    2    10   2       
Vardas4822     Pavarde4822    2    8    9    6    8    3       
Vardas4823     Pavarde4823    4    5    8    3    6    4       
Vardas4824     Pavarde4824    1    1    2    2    10   5       
Vardas4825     Pavarde4825    2    10   7    4    5    7       
Vardas4826     Pavarde4826    2    7    6    7    5    8       
Vardas4827     Pavarde4827    9    3    7    10   2    4       
Vardas4828     Pavarde4828    7    10   3    8    9    4       
Vardas4829     Pavarde4829    6    7    6    10   6    8       
Vardas4830     Pavarde4830    8    1    5    8    6    8       
Vardas4831     Pavarde4831    6    9    5    4    2    3       
Vardas4832     Pavarde4832    8    3    10   3    2    8       
Vardas4833     Pavarde4833    7    4    5    4    9    7       
Vardas4834     Pavarde4834    10   10   2    10   5    1       
Vardas4835     Pavarde4835    6    10   4    8    8    2       
Vardas4836     Pavarde4836    1    4    7    4    10   3       
Vardas4837     Pavarde4837    9    1    6    9    9    6       
Vardas4838     Pavarde4838    5    4    7    4    8    5       
Vardas4839     Pavarde4839    4    7    3    1    7    1       
Vardas4840     Pavarde4840    4    6    5    3    10   7       
Vardas4841     Pavarde4841    2    2    10   2    7    5       
Vardas4842     Pavarde4842    1    1    2    8    5    4       
Vardas4843     Pavarde4843    9    4    5    10   3    9       
Vardas4844     Pavarde4844    6    3    7    6    8    8       
Vardas4845     Pavarde4845    1    3    8    1    4    9       
Vardas4846     Pavarde4846    9    1    3    3    4    9       
Vardas4847     Pavarde4847    8    10   10   1    6    10      
Vardas4848     Pavarde4848    2    8    10   10   8    9       
Vardas4849     Pavarde4849    6    6    7    5    4    6       
Vardas4850     Pavarde4850    10   3    3    3    2    7       
Vardas4851     Pavarde4851    8    9    1    2    2    5       
Vardas4852     Pavarde4852    2    1    6    10   6    4       
Vardas4853     Pavarde4853    5    1    1    6    1    1       
Vardas4854     Pavarde4854    10   5    7    2    6    7       
Vardas4855     Pavarde4855    8    10   1    7    10   9       
Vardas4856     Pavarde4856    4    6    6    9    2    4       
Vardas4857     Pavarde4857    8    2    8    8    2    8       
Vardas4858     Pavarde4858    3    5    8    5    1    8       
Vardas4859     Pavarde4859    10   6    1    8    2    9       
Vardas4860     Pavarde4860    1    5    10   7    6    1       
Vardas4861     Pavarde4861    9    10   5    9    9    3       
Vardas4862     Pavarde4862    6    10   10   2    3    8       
Vardas4863     Pavarde4863    10   8    4    9    2    8       
Vardas4864     Pavarde4864    5    4    4    6    2    1       
